program_clean,academic_year,level,tot_students,tot_male,tot_female,duration,rolling_cohort,female_pct,male_pct,equity_status,cohort_female,cohort_male,cohort_female_pct
bachelor of business administration (finance and accountancy) - bangalore yeshwanthpur campus,2022,Under Graduate Degree,66,39,27,3,66,40.90909091,59.09090909,Moderately Imbalanced,27,39,40.90909091
bachelor of business administration (finance and accountancy) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,65,38,27,3,65,41.53846154,58.46153846,Moderately Imbalanced,27,38,41.53846154
bachelor of business administration (finance and accountancy) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,63,38,25,3,63,39.68253968,60.31746032,Moderately Imbalanced,25,38,39.68253968
bachelor of business administration (honours) - bangalore yeshwanthpur campus,2022,Under Graduate Degree,287,153,134,3,287,46.68989547,53.31010453,Balanced,134,153,46.68989547
bachelor of business administration (honours) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,273,147,126,3,273,46.15384615,53.84615385,Balanced,126,147,46.15384615
bachelor of business administration (honours) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,270,144,126,3,270,46.66666667,53.33333333,Balanced,126,144,46.66666667
bachelor of business administration - bangalore yeshwanthpur campus,2022,Under Graduate Degree,251,141,110,3,251,43.8247012,56.1752988,Moderately Imbalanced,110,141,43.8247012
bachelor of business administration - bangalore yeshwanthpur campus,2023,Under Graduate Degree,238,130,108,3,238,45.37815126,54.62184874,Balanced,108,130,45.37815126
bachelor of business administration - bangalore yeshwanthpur campus,2024,Under Graduate Degree,235,127,108,3,235,45.95744681,54.04255319,Balanced,108,127,45.95744681
bachelor of commerce (bcom) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,137,75,62,3,137,45.25547445,54.74452555,Balanced,62,75,45.25547445
bachelor of commerce (bcom) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,249,127,122,3,249,48.99598394,51.00401606,Balanced,122,127,48.99598394
bachelor of commerce (bcom) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,377,190,187,3,377,49.60212202,50.39787798,Balanced,187,190,49.60212202
bachelor of commerce (finance and accountancy) - bangalore yeshwanthpur campus,2022,Under Graduate Degree,75,43,32,3,75,42.66666667,57.33333333,Moderately Imbalanced,32,43,42.66666667
bachelor of commerce (finance and accountancy) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,73,41,32,3,73,43.83561644,56.16438356,Moderately Imbalanced,32,41,43.83561644
bachelor of commerce (finance and accountancy) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,73,41,32,3,73,43.83561644,56.16438356,Moderately Imbalanced,32,41,43.83561644
bachelor of commerce (honours) - bangalore yeshwanthpur campus,2022,Under Graduate Degree,147,81,66,3,147,44.89795918,55.10204082,Moderately Imbalanced,66,81,44.89795918
bachelor of commerce (honours) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,136,74,62,3,136,45.58823529,54.41176471,Balanced,62,74,45.58823529
bachelor of commerce (honours) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,134,73,61,3,134,45.52238806,54.47761194,Balanced,61,73,45.52238806
bachelor of commerce - bangalore yeshwanthpur campus,2022,Under Graduate Degree,61,41,20,3,61,32.78688525,67.21311475,Moderately Imbalanced,20,41,32.78688525
bachelor of commerce - bangalore yeshwanthpur campus,2023,Under Graduate Degree,59,39,20,3,59,33.89830508,66.10169492,Moderately Imbalanced,20,39,33.89830508
bachelor of commerce - bangalore yeshwanthpur campus,2024,Under Graduate Degree,58,39,19,3,58,32.75862069,67.24137931,Moderately Imbalanced,19,39,32.75862069
"bachelor of science (computer science, mathematics) - bangalore yeshwanthpur campus",2022,Under Graduate Degree,25,15,10,3,25,40,60,Moderately Imbalanced,10,15,40
"bachelor of science (computer science, mathematics) - bangalore yeshwanthpur campus",2023,Under Graduate Degree,22,12,10,3,22,45.45454545,54.54545455,Balanced,10,12,45.45454545
"bachelor of science (computer science, mathematics) - bangalore yeshwanthpur campus",2024,Under Graduate Degree,22,12,10,3,22,45.45454545,54.54545455,Balanced,10,12,45.45454545
"bachelor of science (economics, mathematics) - bangalore yeshwanthpur campus",2022,Under Graduate Degree,28,11,17,3,28,60.71428571,39.28571429,Moderately Imbalanced,17,11,60.71428571
"bachelor of science (economics, mathematics) - bangalore yeshwanthpur campus",2023,Under Graduate Degree,26,10,16,3,26,61.53846154,38.46153846,Moderately Imbalanced,16,10,61.53846154
"bachelor of science (economics, mathematics) - bangalore yeshwanthpur campus",2024,Under Graduate Degree,25,9,16,3,25,64,36,Moderately Imbalanced,16,9,64
bachelor of science (psychology honours) - bangalore yeshwanthpur campus,2022,Under Graduate Degree,126,29,97,3,126,76.98412698,23.01587302,Highly Imbalanced,97,29,76.98412698
bachelor of science (psychology honours) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,117,27,90,3,117,76.92307692,23.07692308,Highly Imbalanced,90,27,76.92307692
bachelor of science (psychology honours) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,114,26,88,3,114,77.19298246,22.80701754,Highly Imbalanced,88,26,77.19298246
bba (finance and economics) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,88,34,54,3,88,61.36363636,38.63636364,Moderately Imbalanced,54,34,61.36363636
bba (finance and economics) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,159,67,92,3,159,57.86163522,42.13836478,Moderately Imbalanced,92,67,57.86163522
bba (finance and economics) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,259,124,135,3,259,52.12355212,47.87644788,Balanced,135,124,52.12355212
bba (finance and international business) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,295,158,137,3,295,46.44067797,53.55932203,Balanced,137,158,46.44067797
bba (finance and international business) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,554,305,249,3,554,44.94584838,55.05415162,Moderately Imbalanced,249,305,44.94584838
bba (finance and international business) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,812,455,357,3,812,43.96551724,56.03448276,Moderately Imbalanced,357,455,43.96551724
bba (finance and marketing analytics) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,158,78,80,3,158,50.63291139,49.36708861,Balanced,80,78,50.63291139
bba (finance and marketing analytics) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,294,153,141,3,294,47.95918367,52.04081633,Balanced,141,153,47.95918367
bba (finance and marketing analytics) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,473,272,201,3,473,42.49471459,57.50528541,Moderately Imbalanced,201,272,42.49471459
bba (strategy and business analytics) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,94,54,40,3,94,42.55319149,57.44680851,Moderately Imbalanced,40,54,42.55319149
bba (strategy and business analytics) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,162,99,63,3,162,38.88888889,61.11111111,Moderately Imbalanced,63,99,38.88888889
bba (strategy and business analytics) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,239,146,93,3,239,38.91213389,61.08786611,Moderately Imbalanced,93,146,38.91213389
bcom (accountancy and taxation) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,54,27,27,3,54,50,50,Balanced,27,27,50
bcom (accountancy and taxation) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,102,52,50,3,102,49.01960784,50.98039216,Balanced,50,52,49.01960784
bcom (accountancy and taxation) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,163,93,70,3,163,42.94478528,57.05521472,Moderately Imbalanced,70,93,42.94478528
bcom (applied finance and analytics) - bangalore yeshwanthpur campus,2023,Under Graduate Degree,44,20,24,3,44,54.54545455,45.45454545,Balanced,24,20,54.54545455
bcom (applied finance and analytics) - bangalore yeshwanthpur campus,2024,Under Graduate Degree,101,46,55,3,101,54.45544554,45.54455446,Balanced,55,46,54.45544554
bcom (applied finance and analytics) - bangalore yeshwanthpur campus,2025,Under Graduate Degree,179,86,93,3,179,51.95530726,48.04469274,Balanced,93,86,51.95530726
